,WWW
2023-07-03,14.72
2023-06-30,14.19
2023-06-29,14.20
2023-06-28,13.83
2023-06-27,13.52
2023-06-26,13.50
2023-06-23,13.33
2023-06-22,13.69
2023-06-21,13.60
2023-06-20,13.67
2023-06-16,14.10
2023-06-15,14.23
2023-06-14,14.55
2023-06-13,14.19
2023-06-12,14.21
2023-06-09,14.14
2023-06-08,14.73
2023-06-07,14.53
2023-06-06,13.65
2023-06-05,13.63
2023-06-02,13.30
2023-06-01,12.80
2023-05-31,13.26
2023-05-30,14.09
2023-05-26,14.16
2023-05-25,14.01
2023-05-24,14.17
2023-05-23,14.45
2023-05-22,14.37
2023-05-19,14.32
2023-05-18,15.66
2023-05-17,15.45
2023-05-16,15.45
2023-05-15,15.57
2023-05-12,15.62
2023-05-11,15.94
2023-05-10,15.75
2023-05-09,15.05
2023-05-08,15.14
2023-05-05,14.13
2023-05-04,13.94
2023-05-03,15.23
2023-05-02,15.67
2023-05-01,16.22
2023-04-28,15.86
2023-04-27,15.48
2023-04-26,15.76
2023-04-25,15.95
2023-04-24,16.32
2023-04-21,16.62
2023-04-20,16.26
2023-04-19,16.40
2023-04-18,16.48
2023-04-17,16.67
2023-04-14,16.81
2023-04-13,16.62
2023-04-12,16.42
2023-04-11,16.18
2023-04-10,15.81
2023-04-06,15.85
2023-04-05,16.26
2023-04-04,16.70
2023-04-03,16.85
2023-03-31,16.37
2023-03-30,16.06
2023-03-29,15.91
2023-03-28,15.89
2023-03-27,15.88
2023-03-24,15.58
2023-03-23,15.62
2023-03-22,16.57
2023-03-21,16.64
2023-03-20,16.05
2023-03-17,16.44
2023-03-16,16.32
2023-03-15,16.00
2023-03-14,16.40
2023-03-13,15.56
2023-03-10,15.71
2023-03-09,16.33
2023-03-08,16.30
2023-03-07,16.36
2023-03-06,16.39
2023-03-03,16.52
2023-03-02,16.61
2023-03-01,16.87
2023-02-28,16.58
2023-02-27,16.13
2023-02-24,15.91
2023-02-23,16.36
2023-02-22,14.81
2023-02-21,15.03
2023-02-17,15.34
2023-02-16,15.66
2023-02-15,15.49
2023-02-14,14.53
2023-02-13,14.20
2023-02-10,14.17
2023-02-09,14.51
2023-02-08,14.64
2023-02-07,15.27
2023-02-06,15.65
2023-02-03,15.85
2023-02-02,16.21
2023-02-01,15.62
2023-01-31,15.22
2023-01-30,14.76
2023-01-27,14.83
2023-01-26,14.59
2023-01-25,13.72
2023-01-24,13.99
2023-01-23,13.61
2023-01-20,13.23
2023-01-19,13.07
2023-01-18,13.49
2023-01-17,13.53
2023-01-13,13.25
2023-01-12,12.83
2023-01-11,12.15
2023-01-10,11.26
2023-01-09,10.70
2023-01-06,10.72
2023-01-05,10.39
2023-01-04,11.33
2023-01-03,11.02
2022-12-30,10.62
2022-12-29,10.11
2022-12-28,9.96
2022-12-27,10.10
2022-12-23,10.05
2022-12-22,9.75
2022-12-21,10.06
2022-12-20,9.60
2022-12-19,9.89
2022-12-16,10.16
2022-12-15,10.48
2022-12-14,10.70
2022-12-13,10.30
2022-12-12,10.11
2022-12-09,10.03
2022-12-08,10.08
2022-12-07,10.04
2022-12-06,10.24
2022-12-05,10.44
2022-12-02,10.98
2022-12-01,11.11
2022-11-30,10.90
2022-11-29,10.86
2022-11-28,10.83
2022-11-25,11.03
2022-11-23,10.91
2022-11-22,10.91
2022-11-21,10.73
2022-11-18,10.58
2022-11-17,10.39
2022-11-16,10.60
2022-11-15,11.29
2022-11-14,11.83
2022-11-11,12.08
2022-11-10,11.62
2022-11-09,11.50
2022-11-08,17.72
2022-11-07,17.24
2022-11-04,17.21
2022-11-03,16.43
2022-11-02,16.79
2022-11-01,17.18
2022-10-31,16.74
2022-10-28,16.65
2022-10-27,17.11
2022-10-26,17.02
2022-10-25,16.30
2022-10-24,15.92
2022-10-21,15.90
2022-10-20,15.84
2022-10-19,15.79
2022-10-18,16.15
2022-10-17,15.44
2022-10-14,15.08
2022-10-13,14.53
2022-10-12,15.26
2022-10-11,14.98
2022-10-10,15.11
2022-10-07,16.07
2022-10-06,16.83
2022-10-05,16.53
