,NKE_date,NKE_neg,NKE_neu,NKE_pos,NKE_compound,UAA_date,UAA_neg,UAA_neu,UAA_pos,UAA_compound,PUM.DE_date,PUM.DE_neg,PUM.DE_neu,PUM.DE_pos,PUM.DE_compound,ADDYY_date,ADDYY_neg,ADDYY_neu,ADDYY_pos,ADDYY_compound,VF_date,VF_neg,VF_neu,VF_pos,VF_compound,ASCCF_date,ASCCF_neg,ASCCF_neu,ASCCF_pos,ASCCF_compound,RBK_date,RBK_neg,RBK_neu,RBK_pos,RBK_compound,SKX_date,SKX_neg,SKX_neu,SKX_pos,SKX_compound,WWW_date,WWW_neg,WWW_neu,WWW_pos,WWW_compound,DECK_date,DECK_neg,DECK_neu,DECK_pos,DECK_compound,ANGL.TA_date,ANGL.TA_neg,ANGL.TA_neu,ANGL.TA_pos,ANGL.TA_compound,ONON_date,ONON_neg,ONON_neu,ONON_pos,ONON_compound,BGI_date,BGI_neg,BGI_neu,BGI_pos,BGI_compound,LULU_date,LULU_neg,LULU_neu,LULU_pos,LULU_compound,ANPDY_date,ANPDY_neg,ANPDY_neu,ANPDY_pos,ANPDY_compound,SHMDF_date,SHMDF_neg,SHMDF_neu,SHMDF_pos,SHMDF_compound,DKS_date,DKS_neg,DKS_neu,DKS_pos,DKS_compound,BGFV_date,BGFV_neg,BGFV_neu,BGFV_pos,BGFV_compound,MODG_date,MODG_neg,MODG_neu,MODG_pos,MODG_compound,FL_date,FL_neg,FL_neu,FL_pos,FL_compound,COLM_date,COLM_neg,COLM_neu,COLM_pos,COLM_compound,HGLD_date,HGLD_neg,HGLD_neu,HGLD_pos,HGLD_compound,PTON_date,PTON_neg,PTON_neu,PTON_pos,PTON_compound,PLNT_date,PLNT_neg,PLNT_neu,PLNT_pos,PLNT_compound,MTN_date,MTN_neg,MTN_neu,MTN_pos,MTN_compound,CHDN_date,CHDN_neg,CHDN_neu,CHDN_pos,CHDN_compound,WWE_date,WWE_neg,WWE_neu,WWE_pos,WWE_compound,MSGE_date,MSGE_neg,MSGE_neu,MSGE_pos,MSGE_compound,RCI_date,RCI_neg,RCI_neu,RCI_pos,RCI_compound,LSXMK_date,LSXMK_neg,LSXMK_neu,LSXMK_pos,LSXMK_compound,DIS_date,DIS_neg,DIS_neu,DIS_pos,DIS_compound,T_date,T_neg,T_neu,T_pos,T_compound,CMCSA_date,CMCSA_neg,CMCSA_neu,CMCSA_pos,CMCSA_compound,PEP_date,PEP_neg,PEP_neu,PEP_pos,PEP_compound,EA_date,EA_neg,EA_neu,EA_pos,EA_compound
0,2018-08-15,0.0,1.0,0.0,0.0,2018-08-25,0.0,0.743,0.257,0.5859,2018-08-01,0.0,1.0,0.0,0.0,2018-08-09,0.0,0.796,0.204,0.3182,2018-08-13,0.0,1.0,0.0,0.0,2018-07-10,0.0,0.376,0.624,0.8074,2019-02-11,0.0,1.0,0.0,0.0,2018-07-19,0.0,0.761,0.239,0.296,2018-07-05,0.0,1.0,0.0,0.0,2019-03-11,0.0,1.0,0.0,0.0,2018-12-15,0.167,0.833,0.0,-0.296,2020-05-26,0.0,0.667,0.333,0.4588,2016-11-02,0.0,1.0,0.0,0.0,2018-08-30,0.0,1.0,0.0,0.0,2018-11-19,0.0,0.806,0.194,0.34,2018-11-27,0.0,1.0,0.0,0.0,2018-08-28,0.0,1.0,0.0,0.0,2019-12-02,0.194,0.806,0.0,-0.34,2018-08-03,0.266,0.734,0.0,-0.4404,2019-01-29,0.0,1.0,0.0,0.0,2019-03-28,0.18,0.82,0.0,-0.296,2020-03-15,0.0,1.0,0.0,0.0,2019-09-26,0.0,1.0,0.0,0.0,2018-11-19,0.0,1.0,0.0,0.0,2018-11-07,0.231,0.769,0.0,-0.4588,2018-08-03,0.0,1.0,0.0,0.0,2018-07-11,0.0,1.0,0.0,0.0,2018-08-28,0.0,0.827,0.173,0.3182,2018-09-13,0.0,0.777,0.223,0.3182,2019-11-01,0.229,0.422,0.349,0.4588,2018-08-06,0.0,1.0,0.0,0.0,2018-07-26,0.424,0.576,0.0,-0.7096,2018-07-19,0.0,1.0,0.0,0.0,2018-08-04,0.0,1.0,0.0,0.0,2018-07-27,0.0,1.0,0.0,0.0
1,2018-10-18,0.0,1.0,0.0,0.0,2018-10-30,0.0,1.0,0.0,0.0,2018-10-01,0.0,1.0,0.0,0.0,2018-08-28,0.0,0.674,0.326,0.7003,2018-10-28,0.134,0.704,0.162,0.1027,2018-10-31,0.0,0.804,0.196,0.296,2019-02-15,0.317,0.683,0.0,-0.7579,2018-07-24,0.225,0.775,0.0,-0.4404,2018-07-10,0.0,0.658,0.342,0.3818,2019-09-14,0.174,0.826,0.0,-0.2732,2019-05-28,0.0,1.0,0.0,0.0,2021-07-08,0.0,1.0,0.0,0.0,2016-11-16,0.0,1.0,0.0,0.0,2019-03-02,0.118,0.882,0.0,-0.1531,2019-05-24,0.0,0.759,0.241,0.2263,2020-09-12,0.088,0.76,0.152,0.2732,2019-02-26,0.0,1.0,0.0,0.0,2020-07-09,0.0,0.853,0.147,0.2263,2019-08-16,0.0,0.756,0.244,0.4404,2019-09-13,0.0,1.0,0.0,0.0,2020-02-12,0.0,1.0,0.0,0.0,2020-09-22,0.143,0.497,0.36,0.5423,2020-05-06,0.0,0.864,0.136,0.296,2020-01-07,0.0,1.0,0.0,0.0,2019-02-14,0.0,0.789,0.211,0.34,2018-08-13,0.0,0.758,0.242,0.4939,2018-07-12,0.0,1.0,0.0,0.0,2019-01-24,0.0,1.0,0.0,0.0,2018-11-02,0.0,1.0,0.0,0.0,2019-11-19,0.138,0.862,0.0,-0.1531,2019-05-06,0.0,1.0,0.0,0.0,2018-09-05,0.0,1.0,0.0,0.0,2019-08-12,0.0,1.0,0.0,0.0,2018-09-10,0.0,0.533,0.467,0.7906,2019-02-12,0.0,0.784,0.216,0.5106
2,2018-12-30,0.0,1.0,0.0,0.0,2019-01-14,0.264,0.736,0.0,-0.5106,2018-10-18,0.0,1.0,0.0,0.0,2018-10-01,0.0,1.0,0.0,0.0,2019-05-03,0.0,1.0,0.0,0.0,2018-12-07,0.0,0.517,0.483,0.6808,2019-02-22,0.0,1.0,0.0,0.0,2019-01-18,0.0,1.0,0.0,0.0,2018-07-23,0.0,1.0,0.0,0.0,2019-10-01,0.0,1.0,0.0,0.0,2020-06-09,0.0,1.0,0.0,0.0,2021-08-23,0.0,0.909,0.091,0.0258,2016-12-21,0.0,0.659,0.341,0.6908,2019-03-28,0.0,1.0,0.0,0.0,2019-10-31,0.151,0.484,0.366,0.4588,2020-11-03,0.114,0.776,0.11,-0.0258,2019-03-12,0.0,1.0,0.0,0.0,2020-10-27,0.226,0.774,0.0,-0.4449,2020-12-30,0.0,0.8,0.2,0.25,2019-09-14,0.0,1.0,0.0,0.0,2020-06-20,0.394,0.606,0.0,-0.7579,2023-01-23,0.0,1.0,0.0,0.0,2020-06-24,0.0,1.0,0.0,0.0,2020-04-15,0.19,0.635,0.175,-0.0516,2019-03-15,0.178,0.822,0.0,-0.3818,2018-09-15,0.0,1.0,0.0,0.0,2018-08-03,0.0,1.0,0.0,0.0,2020-04-20,0.0,0.781,0.219,0.4215,2018-11-07,0.0,1.0,0.0,0.0,2019-12-12,0.0,0.682,0.318,0.6369,2019-10-05,0.0,1.0,0.0,0.0,2019-03-27,0.0,1.0,0.0,0.0,2020-05-18,0.0,1.0,0.0,0.0,2019-04-03,0.0,1.0,0.0,0.0,2019-05-07,0.0,1.0,0.0,0.0
3,2019-06-27,0.167,0.833,0.0,-0.1531,2019-01-15,0.323,0.677,0.0,-0.5106,2018-11-28,0.0,1.0,0.0,0.0,2019-04-17,0.0,0.8,0.2,0.3612,2019-09-25,0.0,0.794,0.206,0.3818,2019-01-23,0.0,1.0,0.0,0.0,2019-03-19,0.0,0.642,0.358,0.7717,2019-01-28,0.0,0.687,0.313,0.6249,2018-09-02,0.0,1.0,0.0,0.0,2021-05-03,0.295,0.542,0.163,-0.296,2020-06-30,0.0,1.0,0.0,0.0,2021-09-07,0.0,1.0,0.0,0.0,2017-01-12,0.0,0.643,0.357,0.6124,2019-06-06,0.0,1.0,0.0,0.0,2019-11-01,0.0,0.73,0.27,0.5719,2022-10-27,0.0,0.879,0.121,0.0258,2019-03-29,0.29,0.71,0.0,-0.5423,2021-01-08,0.0,0.9009999999999999,0.09899999999999999,0.1953,2021-01-08,0.0,1.0,0.0,0.0,2022-01-14,0.0,0.756,0.244,0.6369,2020-06-22,0.0,0.748,0.252,0.5719,2023-02-08,0.0,1.0,0.0,0.0,2020-08-27,0.0,1.0,0.0,0.0,2021-02-10,0.0,1.0,0.0,0.0,2019-05-09,0.0,1.0,0.0,0.0,2018-09-21,0.0,1.0,0.0,0.0,2018-09-21,0.0,0.702,0.298,0.7783,2020-05-13,0.0,1.0,0.0,0.0,2019-02-08,0.0,1.0,0.0,0.0,2020-04-23,0.0,0.746,0.254,0.5267,2019-11-07,0.217,0.652,0.13,-0.296,2019-04-23,0.262,0.738,0.0,-0.5583,2020-09-24,0.0,0.645,0.355,0.6705,2020-01-08,0.0,1.0,0.0,0.0,2019-06-08,0.0,0.789,0.211,0.34
4,2019-09-24,0.0,0.75,0.25,0.4588,2019-01-16,0.197,0.803,0.0,-0.4019,2018-12-29,0.0,1.0,0.0,0.0,2019-04-18,0.0,1.0,0.0,0.0,2020-03-23,0.0,1.0,0.0,0.0,2019-04-16,0.0,1.0,0.0,0.0,2019-05-09,0.0,0.749,0.251,0.7717,2019-06-05,0.0,0.748,0.252,0.5719,2018-09-11,0.0,1.0,0.0,0.0,2021-05-07,0.0,1.0,0.0,0.0,2020-07-18,0.0,1.0,0.0,0.0,2021-09-14,0.0,0.882,0.118,0.26335,2017-01-17,0.0,0.787,0.213,0.4019,2019-06-13,0.0,1.0,0.0,0.0,2020-03-24,0.0,1.0,0.0,0.0,2023-01-25,0.0,0.775,0.225,0.4404,2019-08-01,0.0,0.846,0.154,0.25,2021-01-13,0.0,1.0,0.0,0.0,2021-01-15,0.0,1.0,0.0,0.0,2022-03-16,0.0,1.0,0.0,0.0,2020-08-04,0.0,1.0,0.0,0.0,2023-03-23,0.0,1.0,0.0,0.0,2020-09-10,0.223,0.609,0.168,-0.0258,2021-02-11,0.214,0.786,0.0,-0.4588,2019-05-14,0.0,1.0,0.0,0.0,2018-10-02,0.0,1.0,0.0,0.0,2018-10-01,0.131,0.714,0.155,0.1531,2020-05-18,0.248,0.752,0.0,-0.5106,2019-02-21,0.0,1.0,0.0,0.0,2020-05-14,0.0,0.726,0.274,0.5267,2020-06-12,0.0,1.0,0.0,0.0,2019-05-24,0.148,0.852,0.0,-0.3818,2020-11-09,0.0,0.758,0.242,0.4939,2020-03-03,0.0,0.763,0.237,0.4215,2019-06-20,0.0,0.637,0.363,0.6908
5,2019-09-26,0.273,0.49,0.238,-0.128,2019-03-05,0.137,0.719,0.144,0.0258,2019-01-08,0.0,1.0,0.0,0.0,2019-04-25,0.0,0.843,0.157,0.4215,2020-05-07,0.0,1.0,0.0,0.0,2019-08-28,0.0,1.0,0.0,0.0,2019-10-27,0.0,1.0,0.0,0.0,2019-09-26,0.0,1.0,0.0,0.0,2018-10-18,0.0,1.0,0.0,0.0,2021-06-28,0.229,0.571,0.2,-0.1027,2020-12-08,0.0,1.0,0.0,0.0,2021-09-15,0.0,0.708,0.292,0.3182,2017-05-11,0.0,1.0,0.0,0.0,2019-09-09,0.0,1.0,0.0,0.0,2021-04-16,0.182,0.647,0.171,-0.0516,2023-02-16,0.0,1.0,0.0,0.0,2019-08-31,0.149,0.851,0.0,-0.1027,2021-01-28,0.0,1.0,0.0,0.0,2021-09-01,0.231,0.769,0.0,-0.34,2022-04-15,0.384,0.616,0.0,-0.6808,2020-09-23,0.0,1.0,0.0,0.0,,,,,,2020-10-12,0.197,0.803,0.0,-0.4019,2021-10-22,0.0,1.0,0.0,0.0,2020-01-09,0.0,1.0,0.0,0.0,2018-10-31,0.0,0.777,0.223,0.3182,2018-10-24,0.0,1.0,0.0,0.0,2020-06-19,0.0,0.791,0.209,0.4404,2019-02-25,0.0,1.0,0.0,0.0,2020-11-12,0.0,0.779,0.221,0.5267,2020-07-09,0.0,1.0,0.0,0.0,2019-11-05,0.245,0.755,0.0,-0.6711,2020-12-15,0.326,0.674,0.0,-0.4404,2020-04-06,0.0,1.0,0.0,0.0,2019-07-09,0.162,0.667,0.171,0.0258
6,2019-12-04,0.0,0.731,0.269,0.7096,2019-09-27,0.0,1.0,0.0,0.0,2019-01-17,0.0,1.0,0.0,0.0,2019-07-23,0.0,1.0,0.0,0.0,2020-06-14,0.194,0.806,0.0,-0.34,2020-01-22,0.0,0.69,0.31,0.6597,2020-02-13,0.25,0.75,0.0,-0.4588,2019-10-01,0.0,1.0,0.0,0.0,2018-10-23,0.0,0.633,0.367,0.4404,2021-07-16,0.0,1.0,0.0,0.0,2021-03-15,0.0,1.0,0.0,0.0,2021-09-29,0.172,0.67,0.158,-0.0772,2017-06-02,0.0,0.812,0.188,0.4588,2019-12-03,0.0,1.0,0.0,0.0,2022-01-04,0.0,1.0,0.0,0.0,2023-04-23,0.0,1.0,0.0,0.0,2019-11-26,0.0,0.82,0.18,0.296,2021-05-09,0.0,1.0,0.0,0.0,2021-09-29,0.0,0.756,0.244,0.4404,2022-04-22,0.0,0.822,0.178,0.3818,2020-10-05,0.0,0.672,0.328,0.4466,,,,,,2020-11-05,0.084,0.783,0.133,0.2023,2022-01-03,0.0,1.0,0.0,0.0,2020-03-25,0.0,0.787,0.213,0.4019,2018-11-08,0.0,1.0,0.0,0.0,2018-11-12,0.13,0.698,0.172,0.2263,2020-08-10,0.0,1.0,0.0,0.0,2019-06-24,0.0,1.0,0.0,0.0,2021-04-30,0.218,0.526,0.256,0.128,2020-11-04,0.0,1.0,0.0,0.0,2020-01-27,0.0,1.0,0.0,0.0,2021-06-23,0.0,0.845,0.155,0.296,2020-10-03,0.0,0.775,0.225,0.4939,2019-10-29,0.0,1.0,0.0,0.0
7,2019-12-06,0.0,1.0,0.0,0.0,2019-11-04,0.164,0.672,0.164,0.0,2019-02-27,0.0,1.0,0.0,0.0,2019-08-08,0.0,0.732,0.268,0.5106,2020-11-09,0.0,0.735,0.265,0.5574,2020-02-13,0.121,0.682,0.197,0.25,2020-04-01,0.0,0.8,0.2,0.25,2020-03-07,0.0,1.0,0.0,0.0,2018-10-25,0.0,0.737,0.263,0.3612,2021-08-24,0.0,0.801,0.199,0.3595,2021-05-06,0.238,0.762,0.0,-0.3612,2021-11-16,0.0,0.822,0.178,0.3818,2017-06-05,0.0,0.812,0.188,0.4588,2019-12-12,0.0,1.0,0.0,0.0,2022-08-04,0.0,0.741,0.259,0.6369,,,,,,2020-03-10,0.0,0.864,0.136,0.296,2021-05-11,0.0,0.879,0.121,0.24695,2022-01-12,0.0,1.0,0.0,0.0,2022-06-30,0.0,1.0,0.0,0.0,2020-11-06,0.0,1.0,0.0,0.0,,,,,,2020-11-16,0.191,0.809,0.0,-0.3818,2022-01-27,0.149,0.851,0.0,-0.2732,2020-07-18,0.466,0.437,0.097,-0.8225,2019-04-25,0.0,1.0,0.0,0.0,2018-11-15,0.0,1.0,0.0,0.0,2020-09-18,0.0,1.0,0.0,0.0,2019-08-08,0.0,0.794,0.206,0.3818,2021-05-24,0.0,1.0,0.0,0.0,2021-02-10,0.0,0.532,0.468,0.5267,2020-02-18,0.213,0.787,0.0,-0.4019,2021-07-13,0.0,1.0,0.0,0.0,2021-02-27,0.0,0.611,0.389,0.6249,2019-11-26,0.332,0.489,0.179,-0.4215
8,2019-12-19,0.298,0.702,0.0,-0.5267,2020-02-11,0.191,0.691,0.117,-0.1027,2019-05-30,0.0,1.0,0.0,0.0,2019-08-14,0.0,1.0,0.0,0.0,2021-01-11,0.0,1.0,0.0,0.0,2021-12-03,0.207,0.542,0.251,0.2263,2020-05-06,0.345,0.392,0.263,-0.4767,2020-05-14,0.184,0.816,0.0,-0.2023,2018-10-30,0.0,1.0,0.0,0.0,2021-09-22,0.0,0.844,0.156,0.34,2021-06-02,0.0,0.8,0.2,0.3612,2022-05-19,0.0,1.0,0.0,0.0,2017-06-23,0.0,0.794,0.206,0.3818,2020-01-13,0.0,1.0,0.0,0.0,2022-08-31,0.164,0.571,0.264,0.34,,,,,,2020-06-02,0.0,1.0,0.0,0.0,2021-06-01,0.239,0.761,0.0,-0.296,2022-02-02,0.0,0.796,0.204,0.3182,2022-07-14,0.0,1.0,0.0,0.0,2021-03-12,0.0,1.0,0.0,0.0,,,,,,2020-12-21,0.0,0.686,0.314,0.4939,2022-05-12,0.0,1.0,0.0,0.0,2021-03-01,0.15,0.85,0.0,-0.3182,2019-05-03,0.0,0.704,0.296,0.6369,2018-12-01,0.274,0.726,0.0,-0.5267,2020-12-23,0.0,0.739,0.261,0.5574,2019-08-09,0.0,1.0,0.0,0.0,2021-05-27,0.0,0.779,0.221,0.5267,2021-03-08,0.0,0.733,0.267,0.4588,2020-10-21,0.0,1.0,0.0,0.0,2021-08-04,0.0,0.769,0.231,0.4019,2021-07-12,0.0,0.635,0.365,0.3182,2020-05-07,0.0,1.0,0.0,0.0
9,2020-02-06,0.0,1.0,0.0,0.0,2020-02-25,0.216,0.632,0.153,-0.296,2019-08-21,0.0,1.0,0.0,0.0,2020-01-04,0.147,0.853,0.0,-0.2263,2021-02-11,0.0,1.0,0.0,0.0,2022-01-17,0.0,1.0,0.0,0.0,2020-06-17,0.0,1.0,0.0,0.0,2020-12-27,0.0,1.0,0.0,0.0,2018-11-13,0.0,1.0,0.0,0.0,2022-01-04,0.0,0.826,0.174,0.2732,2021-06-30,0.0,1.0,0.0,0.0,2022-05-25,0.0,1.0,0.0,0.0,2017-06-28,0.0,1.0,0.0,0.0,2020-03-26,0.0,0.809,0.191,0.3716,2022-10-11,0.0,1.0,0.0,0.0,,,,,,2020-06-16,0.0,0.8,0.2,0.4588,2021-06-04,0.0,1.0,0.0,0.0,2022-02-09,0.0,1.0,0.0,0.0,2022-07-19,0.0,1.0,0.0,0.0,2021-03-17,0.099,0.901,0.0,-0.296,,,,,,2021-01-14,0.0,1.0,0.0,0.0,2022-06-30,0.0,0.753,0.247,0.5574,2021-03-17,0.0,1.0,0.0,0.0,2019-06-06,0.0,0.809,0.191,0.3818,2018-12-13,0.0,1.0,0.0,0.0,2021-03-26,0.0,0.714,0.286,0.4215,2019-10-10,0.197,0.574,0.23,0.1027,2021-09-08,0.0,0.813,0.187,0.3182,2021-05-13,0.165,0.691,0.144,-0.1027,2020-10-30,0.0,1.0,0.0,0.0,2021-08-24,0.0,1.0,0.0,0.0,2022-03-14,0.197,0.618,0.185,-0.0516,2020-06-04,0.0,1.0,0.0,0.0
